Country,Year,Value
Finland,2015,140.7
Finland,2016,140.8
Finland,2017,139.6
Finland,2018,143.2
France,2000,169.9
France,2001,171.4
France,2002,171.1
France,2003,168.4
France,2004,161.8
France,2005,162.9
France,2006,162.9
France,2007,160.4
France,2008,167.3
France,2009,165.1
France,2010,163.5
France,2011,161.4
France,2012,157.7
France,2013,159.2
France,2014,149.3
France,2015,148.6
France,2016,149.6
France,2017,149.1
France,2018,150.2
Germany,2000,142.8
Germany,2001,137.1
Germany,2002,139
Germany,2003,139.2
Germany,2004,138.6
Germany,2005,139
Germany,2006,140.7
Germany,2007,146
Germany,2008,144.1
Germany,2009,142.8
Germany,2010,144.1
Germany,2011,145.7
Germany,2012,144.3
Germany,2013,141.9
Germany,2014,142.2
Germany,2015,143.7
Germany,2016,145.1
Germany,2017,146.2
Germany,2018,149.1
Greece,2000,141.5
Greece,2001,142.2
Greece,2002,146.9
Greece,2003,147
Greece,2004,148.5
Greece,2005,149.2
Greece,2006,148.2
Greece,2007,149.3
Greece,2008,152.5
Greece,2009,153.9
Greece,2010,152.3
Greece,2011,153.9
Greece,2012,148.7
Greece,2013,146.7
Greece,2014,152.2
Greece,2015,148.2
Greece,2016,147.5
Greece,2017,149
Greece,2018,149.9
Hungary,2000,134.5
Hungary,2001,129.4
Hungary,2002,136
Hungary,2003,129.2
Hungary,2004,133.7
Hungary,2005,138.4
Hungary,2006,139.1
Hungary,2007,139.6
Hungary,2008,139.1
Hungary,2009,136.7
Hungary,2010,136.7
Hungary,2011,136
Hungary,2012,132.7
Hungary,2013,137.7
Hungary,2014,138.1
Hungary,2015,147.8
Hungary,2016,149.6
Hungary,2017,152
Hungary,2018,152.8
Iceland,2000,129.8
Iceland,2001,128
Iceland,2002,137.9
Iceland,2003,138.9
Iceland,2004,144.6
Iceland,2005,144.6
Iceland,2006,149.1
Iceland,2007,151.3
Iceland,2008,149.7
Iceland,2009,146.4
Iceland,2010,144.9
Iceland,2011,145.9
Iceland,2012,149.5
Iceland,2013,151
Iceland,2014,158.7
Iceland,2015,164.1
Iceland,2016,164.1
Iceland,2017,168.3
Iceland,2018,167.7
Ireland,2000,139.8
Ireland,2001,135.9
Ireland,2002,133.9
Ireland,2003,133.7
Ireland,2004,134.5
Ireland,2005,134.1
Ireland,2006,125.4
Ireland,2007,129.5
Ireland,2008,133.2
Ireland,2009,130.2
Ireland,2010,130.4
Ireland,2011,129.8
Ireland,2012,130
Ireland,2013,125.8
Ireland,2014,131.5
Ireland,2015,136.5
Ireland,2016,135.1
Ireland,2017,149
Ireland,2018,153
Italy,2000,153.7
Italy,2001,155.2
Italy,2002,155.4
Italy,2003,152.5
Italy,2004,150.1
Italy,2005,147.9
Italy,2006,156.5
Italy,2007,156.4
Italy,2008,155.9
Italy,2009,152.7
Italy,2010,156.5
Italy,2011,157.5
Italy,2012,157.9
Italy,2013,154.7
Italy,2014,148.7
Italy,2015,146
Italy,2016,146.6
Italy,2017,146.9
Italy,2018,149.1
Japan,2000,90.2
Japan,2001,89.9
Japan,2002,88.6
Japan,2003,88.1
Japan,2004,90.2
Japan,2005,90.6
Japan,2006,89.4
Japan,2007,89
Japan,2008,88.8
Japan,2009,85.5
Japan,2010,87.5
Japan,2011,87.2
Japan,2012,87.2
Japan,2013,86.6
Japan,2014,87.1
Japan,2015,87.5
Japan,2016,86.5
Japan,2017,89.4
Japan,2018,89.2
Korea,2000,78.1
Korea,2001,75.9
Korea,2002,78.1
Korea,2003,84
Korea,2004,84.8
Korea,2005,85.2
Korea,2006,87.1
Korea,2007,90.4
Korea,2008,92.6
Korea,2009,97
Korea,2010,100
Korea,2011,102.7
Korea,2012,105.2
Korea,2013,102.3
Korea,2014,104.5
Korea,2015,106.1
Korea,2016,105.4
Korea,2017,107.9
Korea,2018,111.1
Luxembourg,2000,144.5
Luxembourg,2001,152.7
Luxembourg,2002,151
Luxembourg,2003,152.3
Luxembourg,2004,155.7
Luxembourg,2005,151.9
Luxembourg,2006,146.6
Luxembourg,2007,145.1
Luxembourg,2008,146.2
Luxembourg,2009,143.8
Luxembourg,2010,140.3
Luxembourg,2011,137.6
Luxembourg,2012,140.3
Luxembourg,2013,141.8
Luxembourg,2014,138
Luxembourg,2015,139.8
Luxembourg,2016,140.1
Luxembourg,2017,142
Luxembourg,2018,143.5
Mexico,2000,83.2
Mexico,2001,84.9
Mexico,2002,87.2
Mexico,2003,86.9
Mexico,2004,89.4
Mexico,2005,90.9
Mexico,2006,89.2
Mexico,2007,91.1
Mexico,2008,91.1
Mexico,2009,89.8
Mexico,2010,90.6
Mexico,2011,92.9
Mexico,2012,91.4
Mexico,2013,93.6
Mexico,2014,96.6
Mexico,2015,97.8
Mexico,2016,99.7
Mexico,2017,99.6
Mexico,2018,102.1
Netherlands,2000,146.2
Netherlands,2001,143.7
Netherlands,2002,144
Netherlands,2003,130.4
Netherlands,2004,133.4
Netherlands,2005,140.1
Netherlands,2006,132.4
Netherlands,2007,131.6
Netherlands,2008,132.7
Netherlands,2009,127
Netherlands,2010,125.1
Netherlands,2011,122.5
Netherlands,2012,124.3
Netherlands,2013,125.6
Netherlands,2014,126.7
Netherlands,2015,128
Netherlands,2016,130.2
Netherlands,2017,126.6
Netherlands,2018,140.1
New Zealand,2000,114.2
New Zealand,2001,112.4
New Zealand,2002,115.1
New Zealand,2003,114.1
New Zealand,2004,117.8
New Zealand,2005,118.9
New Zealand,2006,118.5
New Zealand,2007,121
New Zealand,2008,120.9
New Zealand,2009,116.2
New Zealand,2010,118.5
New Zealand,2011,119.7
New Zealand,2012,116.8
New Zealand,2013,116.1
New Zealand,2014,114.3
New Zealand,2015,113.5
New Zealand,2016,114
New Zealand,2017,113.9
New Zealand,2018,113.8
Norway,2000,139.3
Norway,2001,142.1
Norway,2002,145.7
Norway,2003,145.8
Norway,2004,151.3
Norway,2005,156.6
Norway,2006,149.2
Norway,2007,148.3
Norway,2008,147.2
Norway,2009,147.3
Norway,2010,149
Norway,2011,150.4
Norway,2012,150.2
Norway,2013,149.2
Norway,2014,143.4
Norway,2015,142.1
Norway,2016,142
Norway,2017,138.5
Norway,2018,140.7
Poland,2000,113.4
Poland,2001,114
Poland,2002,116.3
Poland,2003,114.7
Poland,2004,113.2
Poland,2005,113.3
Poland,2006,112.4
Poland,2007,111.9
Poland,2008,112.2
Poland,2009,116.5
Poland,2010,117.2
Poland,2011,118.1
Poland,2012,117.8
Poland,2013,119.6
Poland,2014,119.2
Poland,2015,122.4
Poland,2016,123.9
Poland,2017,124.1
Poland,2018,127.9
Portugal,2000,133.8
Portugal,2001,133.1
Portugal,2002,134.9
Portugal,2003,134.2
Portugal,2004,132.4
Portugal,2005,136
Portugal,2006,136.5
Portugal,2007,139.5
Portugal,2008,143.8
Portugal,2009,142.3
Portugal,2010,139.9
Portugal,2011,139.8
Portugal,2012,142.1
Portugal,2013,140.3
Portugal,2014,133.2
Portugal,2015,138.1
Portugal,2016,134
Portugal,2017,134
Portugal,2018,139.1
Slovak Republic,2000,97.2
Slovak Republic,2001,105.3
Slovak Republic,2002,105.3
Slovak Republic,2003,105.6
Slovak Republic,2004,104.6
Slovak Republic,2005,101.3
Slovak Republic,2006,104.9
Slovak Republic,2007,101.1
Slovak Republic,2008,97.3
Slovak Republic,2009,108.2
Slovak Republic,2010,111.1
Slovak Republic,2011,111.8
Slovak Republic,2012,115
Slovak Republic,2013,113
Slovak Republic,2014,118.8
Slovak Republic,2015,120.8
Slovak Republic,2016,127
Slovak Republic,2017,135.1
Slovak Republic,2018,132.3
Spain,2000,155.1
Spain,2001,152.6
Spain,2002,153.8
Spain,2003,149.3
Spain,2004,145.4
Spain,2005,146
Spain,2006,144.9
Spain,2007,147.3
Spain,2008,144.2
Spain,2009,144.3
Spain,2010,144
Spain,2011,144.3
Spain,2012,143.8
Spain,2013,143.7
Spain,2014,141.4
Spain,2015,147.2
Spain,2016,149.9
Spain,2017,152.4
Spain,2018,152.3
Sweden,2000,123
Sweden,2001,124.6
Sweden,2002,125
Sweden,2003,123.6
Sweden,2004,125.2
Sweden,2005,124.3
Sweden,2006,122
Sweden,2007,121.9
Sweden,2008,125.6
Sweden,2009,127.3
Sweden,2010,130
Sweden,2011,132.1
Sweden,2012,134.5
Sweden,2013,130.2
Sweden,2014,135
Sweden,2015,136.5
Sweden,2016,138
Sweden,2017,135
Sweden,2018,133.8
Switzerland,2000,149.9
Switzerland,2001,150.6
Switzerland,2002,154.2
Switzerland,2003,154
Switzerland,2004,152.9
Switzerland,2005,153.8
Switzerland,2006,158
Switzerland,2007,155.7
Switzerland,2008,158.7
Switzerland,2009,156.7
Switzerland,2010,157
Switzerland,2011,158.5
Switzerland,2012,151.4
Switzerland,2013,153.6
Switzerland,2014,156.9
Switzerland,2015,159.1
Switzerland,2016,155.2
Switzerland,2017,154.8
Switzerland,2018,153.4
Turkey,2000,100.1
Turkey,2001,95.2
Turkey,2002,97.3
Turkey,2003,99
Turkey,2004,104.8
Turkey,2005,105
Turkey,2006,108.2
Turkey,2007,113.5
Turkey,2008,110.3
Turkey,2009,112.5
Turkey,2010,113.8
Turkey,2011,120.6
Turkey,2012,120.1
Turkey,2013,119.7
Turkey,2014,117.6
Turkey,2015,121.3
Turkey,2016,119.6
Turkey,2017,123.1
Turkey,2018,121.7
United Kingdom,2000,140.8
United Kingdom,2001,141.8
United Kingdom,2002,135.4
United Kingdom,2003,133.4
United Kingdom,2004,137.6
United Kingdom,2005,139.4
United Kingdom,2006,147.2
United Kingdom,2007,140.8
United Kingdom,2008,140.1
United Kingdom,2009,139.7
United Kingdom,2010,142.3
United Kingdom,2011,138.1
United Kingdom,2012,138.5
United Kingdom,2013,138.4
United Kingdom,2014,138.8
United Kingdom,2015,139.6
United Kingdom,2016,137.9
United Kingdom,2017,139.8
United Kingdom,2018,138.3
United States,2000,154.4
United States,2001,154.8
United States,2002,159.9
United States,2003,158.6
United States,2004,161.7
United States,2005,165
United States,2006,162.5
United States,2007,163.2
United States,2008,161.4
United States,2009,159.3
United States,2010,159.9
United States,2011,161.7
United States,2012,162.2
United States,2013,161.5
United States,2014,163.2
United States,2015,164.9
United States,2016,166.5
United States,2017,168
United States,2018,170.5
Brazil,2000,99.7
Brazil,2001,99.4
Brazil,2002,100.8
Brazil,2003,103.6
Brazil,2004,105.2
Brazil,2005,102.4
Brazil,2006,105.3
Brazil,2007,107
Brazil,2008,111.1
Brazil,2009,110.5
Brazil,2010,113
Brazil,2011,115.7
Brazil,2012,116.8
Brazil,2013,117.8
Brazil,2014,123.5
Brazil,2015,125.1
Brazil,2016,124.7
Brazil,2017,125.1
Brazil,2018,126.4
Chile,2000,83.1
Chile,2001,84
Chile,2002,84.6
Chile,2003,85.7
Chile,2004,84.5
Chile,2005,80.9
Chile,2006,86.7
Chile,2007,88.2
Chile,2008,86.5
Chile,2009,83.8
Chile,2010,82.6
Chile,2011,84.8
Chile,2012,86
Chile,2013,89.4
Chile,2014,91.1
Chile,2015,90.6
Chile,2016,90.4
Chile,2017,90.4
Chile,2018,93.3
China (People's Republic of),2000,74.6
China (People's Republic of),2001,74.6
China (People's Republic of),2002,76.4
China (People's Republic of),2003,78.3
China (People's Republic of),2004,79.3
China (People's Republic of),2005,81.3
China (People's Republic of),2006,84.3
China (People's Republic of),2007,86.6
China (People's Republic of),2008,88.1
China (People's Republic of),2009,91.1
China (People's Republic of),2010,93.1
China (People's Republic of),2011,93.2
China (People's Republic of),2012,94.8
China (People's Republic of),2013,95.1
China (People's Republic of),2014,96
China (People's Republic of),2015,97
China (People's Republic of),2016,97
China (People's Republic of),2017,98.5
China (People's Republic of),2018,99.7
Estonia,2000,86.5
Estonia,2001,89.2
Estonia,2002,99.1
Estonia,2003,101.6
Estonia,2004,97.8
Estonia,2005,91.8
Estonia,2006,95
Estonia,2007,93.5
Estonia,2008,93.8
Estonia,2009,95.6
Estonia,2010,92
Estonia,2011,89.1
Estonia,2012,94.1
Estonia,2013,90.7
Estonia,2014,106.6
Estonia,2015,120.1
Estonia,2016,119.4
Estonia,2017,119.4
Estonia,2018,127.4
India,2000,45.7
India,2001,44.3
India,2002,45
India,2003,45
India,2004,45.7
India,2005,47.6
India,2006,49.3
India,2007,50.8
India,2008,49.4
India,2009,52.1
India,2010,51.4
India,2011,52.1
India,2012,52.6
India,2013,52.3
India,2014,53.7
India,2015,55.3
India,2016,55.5
India,2017,58.5
India,2018,58.9
Indonesia,2000,44
Indonesia,2001,44.6
Indonesia,2002,45.6
Indonesia,2003,48.4
Indonesia,2004,48
Indonesia,2005,48.9
Indonesia,2006,49.6
Indonesia,2007,52.5
Indonesia,2008,51.4
Indonesia,2009,52.5
Indonesia,2010,54.2
Indonesia,2011,55.9
Indonesia,2012,56.5
Indonesia,2013,57.7
Indonesia,2014,56.6
Indonesia,2015,54.1
Indonesia,2016,56.2
Indonesia,2017,59.2
Indonesia,2018,61.1
Israel,2000,129.1
Israel,2001,137.5
Israel,2002,141
Israel,2003,139.8
Israel,2004,148
Israel,2005,147.7
Israel,2006,150.2
Israel,2007,146.1
Israel,2008,147.4
Israel,2009,145.8
Israel,2010,144.3
Israel,2011,148.8
Israel,2012,150.3
Israel,2013,151.6
Israel,2014,150.6
Israel,2015,149
Israel,2016,154.4
Israel,2017,157.1
Israel,2018,150.6
Russia,2000,76.5
Russia,2001,79.6
Russia,2002,82
Russia,2003,84.6
Russia,2004,86.3
Russia,2005,88.8
Russia,2006,91
Russia,2007,94
Russia,2008,95.3
Russia,2009,95.8
Russia,2010,99.8
Russia,2011,101
Russia,2012,103.4
Russia,2013,105.6
Russia,2014,108.6
Russia,2015,105.3
Russia,2016,108.9
Russia,2017,109.7
Russia,2018,112.3
Slovenia,2000,107.8
Slovenia,2001,115.4
Slovenia,2002,115.9
Slovenia,2003,120.3
Slovenia,2004,120.7
Slovenia,2005,117.6
Slovenia,2006,118.9
Slovenia,2007,119.6
Slovenia,2008,121.9
Slovenia,2009,121.9
Slovenia,2010,121.8
Slovenia,2011,119.4
Slovenia,2012,118.9
Slovenia,2013,119.5
Slovenia,2014,113.6
Slovenia,2015,111.6
Slovenia,2016,114.6
Slovenia,2017,115.4
Slovenia,2018,114.9
South Africa,2000,71.3
South Africa,2001,75.2
South Africa,2002,77.8
South Africa,2003,79
South Africa,2004,78.3
South Africa,2005,80.3
South Africa,2006,80.4
South Africa,2007,79.4
South Africa,2008,83.3
South Africa,2009,87
South Africa,2010,86
South Africa,2011,83.9
South Africa,2012,84.7
South Africa,2013,83.6
South Africa,2014,81
South Africa,2015,83
South Africa,2016,81.4
South Africa,2017,82.5
South Africa,2018,82.9
Australia,2000,2991
Australia,2001,3048
Australia,2002,3077
Australia,2003,3104
Australia,2004,3052
Australia,2005,3099
Australia,2006,3156
Australia,2007,3198
Australia,2008,3199
Australia,2009,3205
Australia,2010,3213
Australia,2011,3237
Australia,2012,3257
Australia,2013,3276
Australia,2014,3407
Australia,2015,3393
Australia,2016,3416
Australia,2017,3406
Australia,2018,3391
Austria,2000,3726
Austria,2001,3728
Austria,2002,3652
Austria,2003,3609
Austria,2004,3606
Austria,2005,3640
Austria,2006,3719
Austria,2007,3737
Austria,2008,3717
Austria,2009,3723
Austria,2010,3724
Austria,2011,3735
Austria,2012,3739
Austria,2013,3768
Austria,2014,3672
Austria,2015,3664
Austria,2016,3659
Austria,2017,3687
Austria,2018,3695
Belgium,2000,3709
Belgium,2001,3747
Belgium,2002,3749
Belgium,2003,3717
Belgium,2004,3722
Belgium,2005,3716
Belgium,2006,3716
Belgium,2007,3713
Belgium,2008,3702
Belgium,2009,3697
Belgium,2010,3707
Belgium,2011,3720
Belgium,2012,3715
Belgium,2013,3733
Belgium,2014,3789
Belgium,2015,3804
Belgium,2016,3774
Belgium,2017,3768
Belgium,2018,3769
Canada,2000,3506
Canada,2001,3501
Canada,2002,3496
Canada,2003,3518
Canada,2004,3525
Canada,2005,3475
Canada,2006,3470
Canada,2007,3483
Canada,2008,3465
Canada,2009,3440
Canada,2010,3447
Canada,2011,3474
Canada,2012,3485
Canada,2013,3494
Canada,2014,3414
Canada,2015,3419
Canada,2016,3494
Canada,2017,3501
Canada,2018,3566
Czech Republic,2000,3079
Czech Republic,2001,3170
Czech Republic,2002,3243
Czech Republic,2003,3319
Czech Republic,2004,3322
Czech Republic,2005,3318
Czech Republic,2006,3279
Czech Republic,2007,3261
Czech Republic,2008,3268
Czech Republic,2009,3276
Czech Republic,2010,3276
Czech Republic,2011,3251
Czech Republic,2012,3243
Czech Republic,2013,3256
Czech Republic,2014,3197
Czech Republic,2015,3122
Czech Republic,2016,3239
Czech Republic,2017,3274
Czech Republic,2018,3277
Denmark,2000,3313
Denmark,2001,3335
Denmark,2002,3373
Denmark,2003,3343
Denmark,2004,3382
Denmark,2005,3414
Denmark,2006,3407
Denmark,2007,3445
Denmark,2008,3326
Denmark,2009,3340
Denmark,2010,3398
Denmark,2011,3348
Denmark,2012,3331
Denmark,2013,3367
Denmark,2014,3355
Denmark,2015,3342
Denmark,2016,3368
Denmark,2017,3397
Denmark,2018,3401
Finland,2000,3151
Finland,2001,3171
Finland,2002,3152
Finland,2003,3154
Finland,2004,3188
Finland,2005,3201
Finland,2006,3237
Finland,2007,3281
Finland,2008,3236
Finland,2009,3233
Finland,2010,3280
Finland,2011,3305
Finland,2012,3323
Finland,2013,3368
Finland,2014,3320
Finland,2015,3333
Finland,2016,3339
Finland,2017,3337
Finland,2018,3343
France,2000,3605
France,2001,3640
France,2002,3656
France,2003,3587
France,2004,3555
France,2005,3538
France,2006,3513
France,2007,3466
France,2008,3551
France,2009,3530
France,2010,3536
France,2011,3514
France,2012,3460
France,2013,3482
France,2014,3411
France,2015,3488
France,2016,3532
France,2017,3510
France,2018,3502
Germany,2000,3336
Germany,2001,3363
Germany,2002,3427
Germany,2003,3390
Germany,2004,3411
Germany,2005,3450
Germany,2006,3466
Germany,2007,3527
Germany,2008,3517
Germany,2009,3515
Germany,2010,3504
Germany,2011,3538
Germany,2012,3501
Germany,2013,3499
Germany,2014,3541
Germany,2015,3567
Germany,2016,3557
Germany,2017,3542
Germany,2018,3554
Greece,2000,3602
Greece,2001,3614
Greece,2002,3639
Greece,2003,3651
Greece,2004,3719
Greece,2005,3593
Greece,2006,3485
Greece,2007,3511
Greece,2008,3519
Greece,2009,3505
Greece,2010,3442
Greece,2011,3427
Greece,2012,3404
Greece,2013,3400
Greece,2014,3439
Greece,2015,3396
Greece,2016,3336
Greece,2017,3373
Greece,2018,3382
Hungary,2000,3172
Hungary,2001,3094
Hungary,2002,3075
Hungary,2003,3061
Hungary,2004,3192
Hungary,2005,3270
Hungary,2006,3278
Hungary,2007,3164
Hungary,2008,3149
Hungary,2009,3140
Hungary,2010,3062
Hungary,2011,3064
Hungary,2012,3009
Hungary,2013,3037
Hungary,2014,3110
Hungary,2015,3222
Hungary,2016,3251
Hungary,2017,3290
Hungary,2018,3316
Iceland,2000,3152
Iceland,2001,3148
Iceland,2002,3214
Iceland,2003,3236
Iceland,2004,3290
Iceland,2005,3323
Iceland,2006,3401
Iceland,2007,3458
Iceland,2008,3428
Iceland,2009,3394
Iceland,2010,3341
Iceland,2011,3348
Iceland,2012,3396
Iceland,2013,3380
Iceland,2014,3458
Iceland,2015,3557
Iceland,2016,3572
Iceland,2017,3652
Iceland,2018,3654
Ireland,2000,3727
Ireland,2001,3722
Ireland,2002,3583
Ireland,2003,3592
Ireland,2004,3573
Ireland,2005,3485
Ireland,2006,3503
Ireland,2007,3532
Ireland,2008,3582
Ireland,2009,3571
Ireland,2010,3591
Ireland,2011,3600
Ireland,2012,3598
Ireland,2013,3600
Ireland,2014,3654
Ireland,2015,3717
Ireland,2016,3746
Ireland,2017,3835
Ireland,2018,3885
Italy,2000,3668
Italy,2001,3671
Italy,2002,3661
Italy,2003,3621
Italy,2004,3626
Italy,2005,3567
Italy,2006,3625
Italy,2007,3618
Italy,2008,3595
Italy,2009,3599
Italy,2010,3583
Italy,2011,3575
Italy,2012,3575
Italy,2013,3579
Italy,2014,3487
Italy,2015,3483
Italy,2016,3472
Italy,2017,3477
Italy,2018,3503
Japan,2000,2899
Japan,2001,2889
Japan,2002,2853
Japan,2003,2842
Japan,2004,2842
Japan,2005,2829
Japan,2006,2778
Japan,2007,2817
Japan,2008,2734
Japan,2009,2675
Japan,2010,2685
Japan,2011,2712
Japan,2012,2740
Japan,2013,2726
Japan,2014,2720
Japan,2015,2701
Japan,2016,2695
Japan,2017,2712
Japan,2018,2705
Korea,2000,3094
Korea,2001,3081
Korea,2002,3081
Korea,2003,3059
Korea,2004,3098
Korea,2005,3102
Korea,2006,3113
Korea,2007,3139
Korea,2008,3187
Korea,2009,3203
Korea,2010,3281
Korea,2011,3354
Korea,2012,3325
Korea,2013,3334
Korea,2014,3333
Korea,2015,3342
Korea,2016,3347
Korea,2017,3388
Korea,2018,3420
Luxembourg,2000,3479
Luxembourg,2001,3484
Luxembourg,2002,3484
Luxembourg,2003,3489
Luxembourg,2004,3489
Luxembourg,2005,3502
Luxembourg,2006,3505
Luxembourg,2007,3501
Luxembourg,2008,3511
Luxembourg,2009,3511
Luxembourg,2010,3526
Luxembourg,2011,3532
Luxembourg,2012,3540
Luxembourg,2013,3539
Luxembourg,2014,3495
Luxembourg,2015,3467
Luxembourg,2016,3466
Luxembourg,2017,3468
Luxembourg,2018,3465
Mexico,2000,3037
Mexico,2001,3085
Mexico,2002,3103
Mexico,2003,3109
Mexico,2004,3105
Mexico,2005,3065
Mexico,2006,3079
Mexico,2007,3101
Mexico,2008,3079
Mexico,2009,3043
Mexico,2010,3041
Mexico,2011,3028
Mexico,2012,3049
Mexico,2013,3072
Mexico,2014,3132
Mexico,2015,3131
Mexico,2016,3155
Mexico,2017,3162
Mexico,2018,3157
Netherlands,2000,3265
Netherlands,2001,3254
Netherlands,2002,3249
Netherlands,2003,3141
Netherlands,2004,3197
Netherlands,2005,3231
Netherlands,2006,3213
Netherlands,2007,3237
Netherlands,2008,3228
Netherlands,2009,3213
Netherlands,2010,3208
Netherlands,2011,3212
Netherlands,2012,3225
Netherlands,2013,3228
Netherlands,2014,3213
Netherlands,2015,3240
Netherlands,2016,3241
Netherlands,2017,3270
Netherlands,2018,3297
New Zealand,2000,3173
New Zealand,2001,3117
New Zealand,2002,3121
New Zealand,2003,3120
New Zealand,2004,3157
New Zealand,2005,3183
New Zealand,2006,3151
New Zealand,2007,3184
New Zealand,2008,3205
New Zealand,2009,3144
New Zealand,2010,3139
New Zealand,2011,3137
New Zealand,2012,3127
New Zealand,2013,3137
New Zealand,2014,3148
New Zealand,2015,3154
New Zealand,2016,3150
New Zealand,2017,3162
New Zealand,2018,3191
Norway,2000,3378
Norway,2001,3418
Norway,2002,3459
Norway,2003,3437
Norway,2004,3477
Norway,2005,3520
Norway,2006,3446
Norway,2007,3464
Norway,2008,3478
Norway,2009,3471
Norway,2010,3486
Norway,2011,3488
Norway,2012,3499
Norway,2013,3485
Norway,2014,3466
Norway,2015,3423
Norway,2016,3407
Norway,2017,3377
Norway,2018,3371
Poland,2000,3419
Poland,2001,3421
Poland,2002,3429
Poland,2003,3421
Poland,2004,3380
Poland,2005,3370
Poland,2006,3353
Poland,2007,3364
Poland,2008,3346
Poland,2009,3418
Poland,2010,3413
Poland,2011,3443
Poland,2012,3443
Poland,2013,3451
Poland,2014,3414
Poland,2015,3373
Poland,2016,3451
Poland,2017,3502
Poland,2018,3537
Portugal,2000,3544
Portugal,2001,3538
Portugal,2002,3534
Portugal,2003,3523
Portugal,2004,3535
Portugal,2005,3531
Portugal,2006,3521
Portugal,2007,3530
Portugal,2008,3538
Portugal,2009,3507
Portugal,2010,3498
Portugal,2011,3477
Portugal,2012,3473
Portugal,2013,3477
Portugal,2014,3377
Portugal,2015,3437
Portugal,2016,3381
Portugal,2017,3410
Portugal,2018,3480
Slovak Republic,2000,2778
Slovak Republic,2001,2785
Slovak Republic,2002,2800
Slovak Republic,2003,2790
Slovak Republic,2004,2817
Slovak Republic,2005,2841
Slovak Republic,2006,2833
Slovak Republic,2007,2794
Slovak Republic,2008,2864
Slovak Republic,2009,2899
Slovak Republic,2010,2950
Slovak Republic,2011,2941
Slovak Republic,2012,2901
Slovak Republic,2013,2944
Slovak Republic,2014,2823
Slovak Republic,2015,2718
Slovak Republic,2016,2831
Slovak Republic,2017,2861
Slovak Republic,2018,2871
Spain,2000,3360
Spain,2001,3332
Spain,2002,3359
Spain,2003,3297
Spain,2004,3246
Spain,2005,3220
Spain,2006,3227
Spain,2007,3223
Spain,2008,3208
Spain,2009,3205
Spain,2010,3183
Spain,2011,3192
Spain,2012,3173
Spain,2013,3174
Spain,2014,3163
Spain,2015,3195
Spain,2016,3274
Spain,2017,3303
Spain,2018,3322
Sweden,2000,3099
